               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10174,            0.033606,                   0,             0.15375,             0.32932,             0.11799,            0.031304,            0.075087,            0.022723,                   0,            0.070385,           0.0032906,           0.0032906
                   1,            0.070193,            0.030517,                   0,            0.093485,             0.27711,            0.066443,            0.019532,            0.075355,            0.017926,                   0,            0.040166,           0.0064053,           0.0064053
                   2,            0.064254,            0.026019,                   0,             0.38086,              0.4739,             0.37398,             0.10406,            0.066776,            0.014294,                   0,           0.0097274,           0.0093001,           0.0093001
                   3,            0.054289,            0.023126,                   0,             0.79597,             0.68675,             0.80108,             0.47007,            0.042582,            0.015115,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.048909,            0.018844,                   0,             0.72438,             0.57028,             0.67345,             0.28212,            0.051097,             0.01405,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.043949,            0.017868,                   0,             0.90567,              0.8097,             0.90645,             0.54054,            0.036356,            0.011681,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.038512,            0.016067,                   0,             0.93573,             0.86747,             0.95236,             0.52629,            0.031721,            0.010334,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.036285,            0.014393,                   0,             0.95118,             0.93903,             0.96785,              0.6089,            0.031055,            0.009059,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.033666,            0.014396,                   0,             0.97918,              0.9446,             0.97677,             0.67471,            0.025576,            0.008457,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.031727,             0.01282,                   0,             0.92518,             0.85542,             0.92393,             0.60043,            0.032201,             0.01039,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.031273,            0.012965,                   0,             0.97149,             0.95794,             0.97743,             0.59422,            0.031654,           0.0087261,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.030037,            0.011725,                   0,             0.96777,             0.96481,             0.97731,             0.66078,            0.027804,            0.008259,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.028048,            0.011752,                   0,             0.95922,             0.95984,             0.97717,               0.694,            0.025304,           0.0081656,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.02697,             0.01142,                   0,             0.98102,              0.9759,             0.98017,              0.7245,            0.024176,           0.0074534,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.026049,            0.011782,                   0,             0.98765,             0.96333,             0.98699,             0.75011,            0.021828,           0.0071729,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.025717,            0.011878,                   0,             0.97553,             0.96386,             0.98131,             0.72788,            0.022155,           0.0072905,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.024021,            0.010829,                   0,             0.97153,             0.95984,              0.9793,             0.73375,            0.021334,           0.0072588,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.023102,              0.0107,                   0,             0.97674,             0.93976,              0.9723,             0.73707,            0.022572,            0.007691,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.022254,            0.010453,                   0,             0.97372,              0.9759,             0.98421,             0.76904,            0.020085,           0.0070009,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.02177,            0.010394,                   0,             0.98369,              0.9759,             0.98506,             0.78265,            0.019648,           0.0068677,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.020911,            0.010187,                   0,             0.99161,             0.94779,             0.98157,             0.77818,            0.019822,           0.0073283,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.020591,            0.010431,                   0,             0.96809,             0.95984,             0.97377,              0.7729,            0.020248,           0.0075755,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.019821,            0.010101,                   0,             0.97564,             0.96505,             0.98116,             0.77791,            0.018952,           0.0070685,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.018586,           0.0094595,                   0,             0.97588,             0.97508,             0.98138,             0.81065,            0.017309,            0.006421,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.018425,           0.0096209,                   0,             0.98502,             0.97992,             0.98592,             0.80219,            0.017682,           0.0066545,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.01722,           0.0091028,                   0,             0.98705,             0.97189,              0.9852,             0.81502,            0.016803,           0.0063888,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.017534,           0.0092318,                   0,             0.98112,              0.9759,             0.98204,             0.81919,            0.016365,           0.0063773,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.016763,           0.0090246,                   0,             0.98233,             0.97189,             0.98184,             0.81294,            0.016627,           0.0064115,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.016182,           0.0088441,                   0,             0.98774,             0.97029,             0.98566,             0.83136,            0.015789,           0.0063069,                   0,             0.00109,             0.00109,             0.00109
                  29,              0.0162,           0.0083783,                   0,             0.98959,             0.96386,             0.98544,             0.84066,            0.015549,           0.0062167,                   0,             0.00076,             0.00076,             0.00076
